File|Sentence
Emotion_2014_Oct_25_14(5)_995-1006.txt|The findings demonstrate that vicarious learning leads to lasting changes in all 3 of Lang’s anxiety response systems and is sufficient to create attentional bias to threat in children.
Energy_Convers_Manag_2016_Jun_15_118_364-376.txt|This study shows that the maximum recoverable exergy potential from an average adult moist human faeces can be up to 15 MJ/kg, when the gasifier is operated at optimum equivalence ratio of 0.57, excluding heat losses, distribution or other losses that result from operational activities.
Environ_Chem_Lett_2016_Jul_21_14(3)_331-344.txt|We found that a gain of microbial richness and evenness enhances soil C and N dynamics on the average, though the improvement of C and N dynamics depends on the composition of microbial community. We reviewed 50 models integrating soil microbial diversity.
Eur_J_Cell_Biol_2013_Jun_92(6-7)_222-228.txt|These results suggest further conservation for the role of GSK-3 in the regulation of spindle dynamics during mitosis, but also reveal differences in the mechanisms ensuring accurate chromosome segregation.
Eur_J_Heart_Fail_2013_Dec_11_15(12)_1335-1342.txt|This analysis suggests that the potential for further significant reduction in emergency HF admissions by improving clinical quality of primary care (as currently measured) may be limited.
Eur_J_Med_Res_2012_Dec_22_17(1)_30.txt|Our results suggest that obesity, intraperitoneal fat volume, and a longer cumulative duration spent in the prone position may put patients with ARDS at risk of developing SC-CIP.
Eur_J_Psychol_2015_May_29_11(2)_214-232.txt|The results showed that depressive symptoms decreased both at 96 hours and at 3 months as a result of making-sense task.
Euro_Surveill_2016_Aug_18_21(33)_30320.txt|Our study demonstrated that the mumps outbreak in England 2004/05 resulted in a substantial increase in hospitalised mumps complications, and the model we used can improve the ascertainment of morbidity from a mumps outbreak.
Evol_Dev_2013_Jul_16_15(4)_257-267.txt|Our results suggest that different loci that act at different developmental stages underlie changes in eye size and FW.
Exp_Brain_Res_2016_Oct_26_234_419-428.txt|Hence, this study is the first to show that aging slows down voluntary goal-directed movement control processes to greater extent than the automatic stimulus-driven processes.
Front_Aging_Neurosci_2013_Dec_6_5_88.txt|We argue that high ferritin levels may contribute to an accelerated pathology in AD.
Genetics_2016_Nov_15_204(3)_1307-1319.txt|Overall, our results suggest that, even for potentially simpler traits like pigmentation, the complexity of adaptive trait evolution poses important challenges for QTL mapping and population genetic analysis.
Gut_2016_Jan_12_65(1)_91-99.txt|This study does not support any clinically meaningful benefit or harm of mesalazine compared with placebo in unselected patients with IBS-D.
Headache_2013_Sep_11_53_72-84.txt|In brief, Breath Powered bi-directional intranasal delivery offers a new and more efficient mechanism for nasal drug delivery, providing an attractive option for improved treatment of headaches by enabling or enhancing the benefits of current and future headache therapies.
Heart_2016_May_15_102(10)_735-740.txt|TA314 can identify patients with reduced LVEF who are at increased relative risk of sudden death.
Hum_Reprod_2014_Oct_10_29(10)_2317-2325.txt|AMH levels associated well with PCOS-associated features (such as testosterone levels and oligoamenorrhoea) in adolescence, but was not an ideal marker to predict PCOS-associated features in early adulthood.
Immunity_2010_Aug_27_33(2-2)_279-288.txt|Together, these results highlight the multiple functions of IL-23 signaling in T cells that contribute to its colitogenic activity.
J_Res_Read_2016_May_25_39(2)_171-188.txt|Results indicated that adults with low literacy skills were more impaired than skilled readers on items containing phonological changes but were spared on items involving orthographic changes.
Life_Sci_2016_Nov_15_165_26-34.txt|Vasorelaxation to glabridin is dependent on the opening of K+ channels, particularly BKCa, probably caused by a rise in cellular [cyclic GMP] owing to phosphodiesterase inhibition.
Microb_Pathog_2016_Aug_97_19-26.txt|Taken together, the semi-automated SBA might be efficient, accurate, sensitive, and specific enough to measure functional antibody titers against S. Typhi in sera from human subjects immunized with typhoid vaccines.
Neuropsychobiology_2013_Feb_4_67(2)_84-92.txt|The findings support an association between rs1344706 and alterations in DLPFC activity during WM for faces.
Neurosci_Lett_2016_Oct_6_632_50-54.txt|These results indicate that GABA-mediated neural inhibition may be a key factor determining cognitive performance and suggests a physiological mechanism linking surround suppression and intelligence.
PMC4854284.txt|We find that scaling is achieved, at least in part, by altering the sensitivity of the target cells to SHH and appears to be achieved by modulating the ratio of the repressive and activating transcriptional regulators, GLI2 and GLI3.
PMC5118370.txt|Thus, even in competition with IgG+ MBCs, IgM+ MBCs are rapid, plastic, early responders to a secondary Plasmodium rechallenge and should be targeted by vaccine strategies.
PMC5142738.txt|The results indicate that species richness is comparable between both treatment groups, however, significant differences were found in the compositions of the gut microbiota between the rearing groups.
PMC5189929.txt|Post SG, acyl-ghrelin initiates a temporal hierarchy of molecular events in the gut-brain axis that may both explain the sustained lower body weight and suggest intervention into the cannabinoid pathways for additional therapeutic benefits.
PMC5209940.txt|These findings, showing a risk/safety paradox at the centre of institutionalised birth, add a qualitative dimension to the growing number of quantitative studies asserting that acute medical settings can be detrimental to normal birth practices and outcomes.
PMC5215617.txt|Breastfeeding counselling increased the duration of exclusive breastfeeding by 60 days.
PMC5217206.txt|HPV 51 and 52 were independently associated with abnormal cervical cytology in both HIV negative/positive FSW.
PMC5220391.txt|Our results showed that Tq mediated posttranslational modification of histone acetylation, inhibited HDACs expression, and induced proapoptotic signaling pathways.
PMC5224539.txt|The obtained results support the use of Trifolium flowers as healthy food ingredients.
PMC5226107.txt|Collectively, our analyses provide novel support for NFDS on mtDNA haplotypes, suggesting that mtDNA polymorphism may at least in part be maintained by balancing selection also in natural populations.
PMC5242297.txt|Taken together, our data indicate that microglia and MDM display distinct phenotypes in AD models and highlight the specific effects of normal aging vs A? peptides on inflammatory processes that occur during the disease progression.
PMC5247818.txt|Our data are consistent with the invasiveness and host adaptation feature for the strains GTB/ST8 associated to high within-herd prevalence of mastitis.
PMC5258800.txt|Our data show that the spin–lattice relaxations of the 23Na and 27Al nuclei are mainly governed by interaction of nuclear quadrupole moments with electric field gradients of the crystal, modulated by translational motion of water molecules in the mordenite channels.
PMC5259675.txt|The results showed that norathyriol inhibited ?-glucosidase in a noncompetitive manner with an IC50 value of 3.12??M, which is more potent than mangiferin (IC50 = 358.54??M) and positive drug acarbose (IC50 = 479.2??M) in the zymological experiment.
PMC5267367.txt|MPTP mice do not present behavioural deficits in olfactory search, yet immunoreactivity reveals modifications in the olfactory bulb, and suggests changes in intracellular signal processing, possibly linked to neuron survival after MPTP.
PMC5267519.txt|Together, these results demonstrate that Corning HepatoCells is a reliable in vitro model for drug-drug interaction studies during the early phase of drug testing.
PMC5299477.txt|Our results show that behavioural reactions are not always linked with hormonal responses to stress, and further emphasise the importance of investigating effects of early?life experiences.
PMC5299736.txt|These findings, showing a risk/safety paradox at the centre of institutionalised birth, add a qualitative dimension to the growing number of quantitative studies asserting that acute medical settings can be detrimental to normal birth practices and outcomes.
PMC5301349.txt|Further findings from definitive trials are required to understand the cost/benefit, however, the findings from this study support the feasibility and acceptability of integrating QbTest in the ADHD care pathway.
PMC5306245.txt|The findings offer strong proof of active decision-making during the demographic transition and provide an important contribution to the literature on the role of mortality for reproductive change.
PMC5314469.txt|The present study revealed probable development and use of novel and effective natural disinfectant(s) and antibacterial agent(s) from flies and efforts to screen more fly species for antibacterial activity using resazurin-based TB assay should be undertaken for initial screening for subsequent discovery and isolation of potential novel antimicrobial substances, particularly against the multi-drug resistant strains.
PMC5322618.txt|We concluded that it is necessary for all health professionals to manage labour pain effectively taking the socio-cultural context into consideration.
Inj_Epidemiol_2014_Sep_2_1(1)_18.txt|Similar proportions of younger and older adult ED patients self-restrict driving, albeit in different situations, which has implications for behavioral interventions for injury prevention and for education of patients and medical providers.
Inj_Epidemiol_2016_Jan_5_3_1.txt|Altogether, we found that the results support the use of our algorithm for identifying episodes of care for fall-related injuries.
Isr_J_Chem_2011_Nov_5_51(8-9)_885-899.txt|We have found that several peptide thioesters can be readily prepared and, what's more, there appears to be ample opportunity for further development and discovery.
J_Eat_Disord_2013_Aug_8_1_26.txt|These findings suggest that classificatory systems of mental illnesses should consider introducing SBEs as a feature of the diagnostic criteria for binge eating and, thus, facilitate the inclusion of participants with SBEs in treatment trials.
J_Eat_Disord_2015_Mar_31_3_11.txt|Within this article we will review all body systems affected by AN.
J_Eat_Disord_2016_May_3_4_14.txt|This study highlights the importance of issues of control, particularly feelings of ineffectiveness and fear of losing self-control, in eating disorder symptoms.
J_Eur_Soc_Policy_2015_Dec_25(5)_489-504.txt|Occupational pensions in the same economic sectors across countries are then used as the units of analysis in order to illustrate the plausible determinants of economic individual power and political collective power.
J_Food_Sci_2010_Sep_75(7)_R131-R138.txt|Sensitivity analysis indicates that reducing the estimated Km parameter for LOX isozyme 3 (L-3) would improve the fit between model predictions and experimental results found in the literature.
J_Health_Commun_2016_Jan_2_21(1)_676-75.txt|Low patient activation is an important barrier to SDM that could be ameliorated through the development of behavioral interventions.
J_Homosex_2013_Oct_23_60(10)_1434-1449.txt|The results indicated that participants neither agreed nor strongly disagreed about causes and cures regarding GID, but that these beliefs were logically related.
J_Infect_2010_Mar_60(3-2)_229-237.txt|Our data provide insight in the epidemiology, clinical profile and virological features of mild symptomatic dengue patients who presented to PHC with AUF in Vietnam.
J_Infect_2015_Sep_71(3)_338-346.txt|Our results suggest flucloxacillin in combination with a single protein-synthesis inhibitor such as clindamycin would give the best treatment outcome.
J_Kidney_2016_Feb_27_2(1)_114.txt|Our data reveal that cold storage plus transplantation exacerbated renal and mitochondrial dysfunction when compared to autotransplantation alone.
J_Mar_Biol_2011_2011_518516.txt|These findings demonstrate population connectivity differences among species at biogeographic and evolutionary timescales, which likely translates into differences in dispersal ability at ecological and demographic timescales.
J_Math_Neurosci_2011_Oct_27_1_10.txt|We demonstrate here how the geometry of the neuronal spine can control diffusion and ultimately synaptic processes.
J_Math_Neurosci_2013_Aug_14_3_13.txt|Summing up, we aim at enlightening the contribution of transient effects in predicting the phase response and showing the limits of the phase reduction approach to prevent from falling into wrong predictions in synchronization problems.
J_Math_Neurosci_2015_Sep_1_5_19.txt|In this note, we clarify the well-posedness of the limit equations to the mean-field N-neuron models proposed in (Baladron et al. in J. Math. Neurosci. 2:10, 2012) and we prove the associated propagation of chaos property. 
J_Med_Internet_Res_2014_Apr_14_16(4)_e107.txt|To increase the dissemination potential, medical groups should develop a more cohesive community of shared followers.
J_Med_Internet_Res_2014_Dec_2_16(12)_e267.txt|Doctors have different practices and views regarding whether or how to communicate appropriately with patients on the Internet, despite online and social media becoming an increasingly common feature of clinical practice.
J_Med_Internet_Res_2014_Feb_17_16(2)_e50.txt|With CAT-based administration of the NAQ-R for nurses, their burden was substantially reduced without compromising measurement precision.
J_Med_Syst_2016_Jan_20_40_76.txt|This leads the authors to conclude that the amount of time users needed to perform similar tasks decreased significantly as they gained experience over time.
J_Nanobiotechnology_2007_Mar_23_5_2.txt|We hope that our results will be a basis for developing biodevices using living photosynthetic diatom cells.
J_Nanobiotechnology_2012_Feb_17_10_9.txt|The results are significant to the continued applicability of nanoparticles used for the molecular labeling of cancer cells to determine tumor heterogeneity, grade, and chemotherapeutic resistivity.
J_Nanobiotechnology_2015_Mar_21_13_22.txt|Taken together, our study demonstrated that PTX-ETP/PLGA NP based combination therapy holds significant potential towards the treatment of osteosarcoma.
J_Parkinsons_Dis_2013_3(1)_1-11.txt|The conclusion reached is that in the future, further diagnostic categories will need to be recognized.
