File|Sentence
Dyslexia_2012_Feb_18(1)_1-15.txt|Results A confirmatory factor analysis with four factors (Reading, Word Finding, Attention and Hyperactivity) provided a reasonable fit to the data.
Ecology_2016_Aug_1_97(8)_1919-1928.txt|This study integrates a unique set of demographic and covariate data and highlights the benefits of using a single estimation framework to examine the links between covariates, demographic rates and population dynamics.
EMBO_Rep_2013_Jul_17_14(7)_622-628.txt|We demonstrate that the stimulating effects of the intron mostly reside in the 5'ss rather than on a genuine splicing event.
Emotion_2014_Oct_25_14(5)_995-1006.txt|The findings demonstrate that vicarious learning leads to lasting changes in all 3 of Langs anxiety response systems and is sufficient to create attentional bias to threat in children.
Energy_Convers_Manag_2016_Jun_15_118_364-376.txt|This study shows that the maximum recoverable exergy potential from an average adult moist human faeces can be up to 15MJ/kg, when the gasifier is operated at optimum equivalence ratio of 0.57, excluding heat losses, distribution or other losses that result from operational activities.
Environ_Chem_Lett_2016_Jul_21_14(3)_331-344.txt|We found that a gain of microbial richness and evenness enhances soil C and N dynamics on the average, though the improvement of C and N dynamics depends on the composition of microbial community.
Euro_Surveill_2016_Aug_18_21(33)_30320.txt|Our study demonstrated that the mumps outbreak in England 2004/05 resulted in a substantial increase in hospitalised mumps complications, and the model we used can improve the ascertainment of morbidity from a mumps outbreak.
Eur_J_Cell_Biol_2013_Jun_92(6-7)_222-228.txt|These results suggest further conservation for the role of GSK-3 in the regulation of spindle dynamics during mitosis, but also reveal differences in the mechanisms ensuring accurate chromosome segregation.
Eur_J_Heart_Fail_2013_Dec_11_15(12)_1335-1342.txt|This analysis suggests that the potential for further significant reduction in emergency HF admissions by improving clinical quality of primary care (as currently measured) may be limited.
Eur_J_Med_Res_2012_Dec_22_17(1)_30.txt|Conclusion Our results suggest that obesity, intraperitoneal fat volume, and a longer cumulative duration spent in the prone position may put patients with ARDS at risk of developing SC-CIP.
Eur_J_Psychol_2015_May_29_11(2)_214-232.txt|The results showed that depressive symptoms decreased both at 96 hours and at 3 months as a result of making-sense task.
Evol_Dev_2013_Jul_16_15(4)_257-267.txt|Our results suggest that different loci that act at different developmental stages underlie changes in eye size and FW.
Exp_Brain_Res_2016_Oct_26_234_419-428.txt|The results showed that in a large proportion of the anti-pointing trials, participants made two adjustments: an early initial automatic adjustment in the direction of the target shift followed by a late voluntary adjustment toward the opposite direction.
Front_Aging_Neurosci_2013_Dec_6_5_88.txt|Conclusion: We argue that high ferritin levels may contribute to an accelerated pathology in AD.
Genetics_2016_Nov_15_204(3)_1307-1319.txt|Overall, our results suggest that, even for potentially simpler traits like pigmentation, the complexity of adaptive trait evolution poses important challenges for QTL mapping and population genetic analysis.
Gut_2016_Jan_12_65(1)_91-99.txt|Conclusions This study does not support any clinically meaningful benefit or harm of mesalazine compared with placebo in unselected patients with IBS-D. More precise subtyping based on underlying disease mechanisms is needed to allow more effective targeting of treatment in IBS.
Headache_2013_Sep_11_53_72-84.txt|Multiple studies of drug deposition, including comparisons of traditional nasal sprays to Breath Powered delivery, demonstrate significantly improved deposition to superior and posterior intranasal target sites beyond the nasal valve.
Heart_2016_May_15_102(10)_735-740.txt|We assessed the capacity of TA314 to identify patients at increased risk of sudden cardiac death (SCD) or appropriate ICD shock.
Hum_Reprod_2014_Oct_10_29(10)_2317-2325.txt|And MRJ Study funding was also received from Oulu University Hospital Research Funds, Sigrid Juselius Foundation and the Academy of Finland.
Immunity_2010_Aug_27_33(2-2)_279-288.txt|Together, these results highlight the multiple functions of IL-23 signaling in TA cells that contribute to its colitogenic activity.
J_Res_Read_2016_May_25_39(2)_171-188.txt|These results are consistent with previous findings of adults with low literacy skills reliance on orthographic codes.
Life_Sci_2016_Nov_15_165_26-34.txt|In U46619-contracted arteries partially relaxed by 0.1M sodium nitroprusside, application of 10 and 30nM glabridin caused additional vasorelaxation.
Microb_Pathog_2016_Aug_97_19-26.txt|The SBA titer showed a good correlation with anti-Vi IgG quantity in the serum as determined by Spearman correlation coefficient of 0.737 (PA < 0.001).
Neuropsychobiology_2013_Feb_4_67(2)_84-92.txt|Conclusions The findings support an association between rs1344706 and alterations in DLPFC activity during WM for faces.
Neurosci_Lett_2016_Oct_6_632_50-54.txt|These results indicate that GABA-mediated neural inhibition may be a key factor determining cognitive performance and suggests a physiological mechanism linking surround suppression and intelligence.
PMC4854284.txt|We find that scaling is achieved, at least in part, by altering the sensitivity of the target cells to SHH and appears to be achieved by modulating the ratio of the repressive and activating transcriptional regulators, GLI2 and GLI3.
PMC5118370.txt|Rechallenge experiments revealed that high affinity, somatically hypermutated Plasmodium-specific IgM+ MBCs proliferated and gave rise to antibody-secreting cells that dominated the early secondary response to parasite rechallenge.
PMC5142738.txt|The results indicate that species richness is comparable between both treatment groups, however, significant differences were found in the compositions of the gut microbiota between the rearing groups.
PMC5189929.txt|Conclusions: Post SG, acyl-ghrelin initiates a temporal hierarchy of molecular events in the gut-brain axis that may both explain the sustained lower body weight and suggest intervention into the cannabinoid pathways for additional therapeutic benefits.
PMC5209940.txt|Results Findings from the study showed how institutional surveillance, symbolised by the Journey Board led to an institutional momentum that in its attempt to keep women safe actually introduced new areas of risk, a situation which we named the Paradox of the institution.
PMC5215617.txt|Results The median duration of exclusive breastfeeding was 135 days in the counselling group and 75 days in the usual health message group (p < 0.001).
PMC5217206.txt|Conclusion HPV 51 and 52 were independently associated with abnormal cervical cytology in both HIV negative/positive FSW.
PMC5220391.txt|Our results showed that Tq mediated posttranslational modification of histone acetylation, inhibited HDACs expression, and induced proapoptotic signaling pathways.
PMC5224539.txt|T. repens flowers extract showed a good radical scavenging activity in both DPPH and ABTS tests with IC50 values of 10.3 and 21.4 g/mL, respectively.
PMC5226107.txt|Findings We extend the previous findings of a multi-generation replicated cage experiment in Drosophila subobscura, where mtDNA polymorphism was maintained in a laboratory setting.
PMC5242297.txt|Taken together, our data indicate that microglia and MDM display distinct phenotypes in AD models and highlight the specific effects of normal aging vs AI peptides on inflammatory processes that occur during the disease progression.
PMC5247818.txt|Transcriptomic analysis supports the high propensity of ST8 strain to chronicity of infection and to a higher potential cytotoxicity.
PMC5258800.txt|Our data show that the spin lattice relaxations of the 23Na and 27Al nuclei are mainly governed by interaction of nuclear quadrupole moments with electric field gradients of the crystal, modulated by translational motion of water molecules in the mordenite channels.
PMC5259675.txt|The results showed that norathyriol inhibited I-glucosidase in a noncompetitive manner with an IC50 value of 3.12M, which is more potent than mangiferin (IC50 = 358.54M) and positive drug acarbose (IC50 = 479.2M) in the zymological experiment.
PMC5267367.txt|Conclusions MPTP mice do not present behavioural deficits in olfactory search, yet immunoreactivity reveals modifications in the olfactory bulb, and suggests changes in intracellular signal processing, possibly linked to neuron survival after MPTP.
PMC5267519.txt|Together, these results demonstrate that Corning HepatoCells is a reliable in vitro model for drug-drug interaction studies during the early phase of drug testing.
PMC5299477.txt|Our results show that behavioural reactions are not always linked with hormonal responses to stress, and further emphasise the importance of investigating effects of early-life experiences.
PMC5299736.txt|The Creative Commons Public Domain Dedication waiver (http://creativecommons.org/publicdomain/zero/1.0/) applies to the data made available in this article, unless otherwise stated.Background Clinical fetal weight estimation is a common practice in obstetrics.
PMC5301349.txt|However, whereas clinicians were more unanimous on the usefulness of the QbTest, survey findings showed that, although the majority of families found the test useful, less than half felt the QbTest helped them understand the clinician's decision making around diagnosis and medication.
PMC5306245.txt|The findings offer strong proof of active decision-making during the demographic transition and provide an important contribution to the literature on the role of mortality for reproductive change.
PMC5314469.txt|The GC-MS analysis had quantitatively identified 20 organic compounds (fatty acids or their derivatives, aromatic acid esters, glycosides and phenol) from the larval extract of L. cuprina, and 5 fatty acid derivatives with known antimicrobial activities from S. peregrina and M. domestica.
PMC5322618.txt|Conclusion We concluded that it is necessary for all health professionals to manage labour pain effectively taking the socio-cultural context into consideration.
Inj_Epidemiol_2014_Sep_2_1(1)_18.txt|We sought to compare the driving patterns and MVCs of younger and older adult ED patients in order to inform development of injury prevention interventions in EDs.
Inj_Epidemiol_2016_Jan_5_3_1.txt|Altogether, we found that the results support the use of our algorithm for identifying episodes of care for fall-related injuries.
Isr_J_Chem_2011_Nov_5_51(8-9)_885-899.txt|We have found that several peptide thioesters can be readily prepared and, what's more, there appears to be ample opportunity for further development and discovery.
J_Eat_Disord_2013_Aug_8_1_26.txt|These findings suggest that classificatory systems of mental illnesses should consider introducing SBEs as a feature of the diagnostic criteria for binge eating and, thus, facilitate the inclusion of participants with SBEs in treatment trials.
J_Eat_Disord_2015_Mar_31_3_11.txt|Specifically, patients suffering from anorexia nervosa (AN) have a litany of medical complications which are commonly present as part of their eating disorders.
J_Eat_Disord_2016_May_3_4_14.txt|Conclusions This study highlights the importance of issues of control, particularly feelings of ineffectiveness and fear of losing self-control, in eating disorder symptoms.
J_Eur_Soc_Policy_2015_Dec_25(5)_489-504.txt|Occupational pensions in the same economic sectors across countries are then used as the units of analysis in order to illustrate the plausible determinants of economic individual power and political collective power.
J_Food_Sci_2010_Sep_75(7)_R131-R138.txt|Sensitivity analysis indicates that reducing the estimated Km parameter for LOX isozyme 3 (L-3) would improve the fit between model predictions and experimental results found in the literature.
J_Health_Commun_2016_Jan_2_21(1)_676-75.txt|Financial support for this study was provided by a contract with UnitedHealthcare, Optum Institute.
J_Homosex_2013_Oct_23_60(10)_1434-1449.txt|The results indicated that participants neither agreed nor strongly disagreed about causes and cures regarding GID, but that these beliefs were logically related.
J_Infect_2010_Mar_60(3-2)_229-237.txt|Conclusions Our data provide insight in the epidemiology, clinical profile and virological features of mild symptomatic dengue patients who presented to PHC with AUF in Vietnam.
J_Infect_2015_Sep_71(3)_338-346.txt|Conclusions Our results suggest flucloxacillin in combination with a single protein-synthesis inhibitor such as clindamycin would give the best treatment outcome.
J_Kidney_2016_Feb_27_2(1)_114.txt|Our data reveal that cold storage plus transplantation exacerbated renal and mitochondrial dysfunction when compared to autotransplantation alone.
J_Mar_Biol_2011_2011_518516.txt|These findings demonstrate population connectivity differences among species at biogeographic and evolutionary timescales, which likely translates into differences in dispersal ability at ecological and demographic timescales.
J_Math_Neurosci_2011_Oct_27_1_10.txt|We demonstrate here how the geometry of the neuronal spine can control diffusion and ultimately synaptic processes.
J_Math_Neurosci_2013_Aug_14_3_13.txt|Summing up, we aim at enlightening the contribution of transient effects in predicting the phase response and showing the limits of the phase reduction approach to prevent from falling into wrong predictions in synchronization problems.
J_Math_Neurosci_2015_Sep_1_5_19.txt|Keywords Mean-field limitsPropagation of chaosStochastic differential equationsNeural networksNeural assembliesHodgkin Huxley neuronsFitzHugh Nagumo neuronsissue-copyright-statement © The Author(s) 2015
J_Med_Internet_Res_2014_Apr_14_16(4)_e107.txt|Objective This study describes the characteristics of four medical networks, analyzes their theoretical dissemination potential, their actual dissemination, and the propagation and distribution of tweets.
J_Med_Internet_Res_2014_Dec_2_16(12)_e267.txt|Objective The intent of the study was to provide the first national profile of Australian doctors' attitudes toward and use of online social media.
J_Med_Internet_Res_2014_Feb_17_16(2)_e50.txt|CAT required fewer items than NAT (an efficiency gain of 32%), suggesting a reduced burden for respondents.
J_Med_Syst_2016_Jan_20_40_76.txt|This study was performed in the domain of decision-supported medication reviews.
J_Nanobiotechnology_2007_Mar_23_5_2.txt|We hope that our results will be a basis for developing biodevices using living photosynthetic diatom cells.
J_Nanobiotechnology_2012_Feb_17_10_9.txt|The results are significant to the continued applicability of nanoparticles used for the molecular labeling of cancer cells to determine tumor heterogeneity, grade, and chemotherapeutic resistivity.
J_Nanobiotechnology_2015_Mar_21_13_22.txt|Conclusion Taken together, our study demonstrated that PTX-ETP/PLGA NP based combination therapy holds significant potential towards the treatment of osteosarcoma.
J_Parkinsons_Dis_2013_3(1)_1-11.txt|The definition of Parkinson's disease (PD) is changing with the expansion of clinical phenomenology and improved understanding of environmental and genetic influences that impact on the pathogenesis of the disease at the cellular and molecular level.
