Article,Abstract,Core sentence from abstract,,(In)correct,,Core sentence from article,,,(In)correct,,Similar?,Claim?,Multiple sentences?,,Use for AIDA rewrite?
/articles.txt.I-N/J_Infect/J_Infect_2010_Mar_60(3-2)_229-237.txt,"To explore clinical and virological characteristics and describe the epidemiology of dengue in patients who presented with acute undifferentiated fever (AUF) at primary health centers (PHC) in Binh Thuan Province, Vietnam. A prospective observational study was conducted from 2001 to 2006 to study the aetiology in AUF patients. Demographic and clinical information was obtained, and dengue polymerase chain reaction (RT-PCR) and serology were performed on a random selection of patients. Three hundred fifty-one serologically confirmed dengue patients including 68 primary and 283 secondary infections were included in this study. In 25% (86/351) dengue virus (DENV) was detected by RT-PCR among which 32 DENV-1, 16 DENV-2, 1 DENV-3 and 37 DENV-4 were identified. The predominant dengue serotype varied by year with seasonal fluctuation: DENV-4 in 2001–2002, DENV-1 and DENV-2 from 2003 to 2006. Primary dengue was more common in children. Higher viraemia levels (P = 0.010) were found in primary infections compared to secondary infections. DENV-1 infected patients had higher viraemia levels than DENV-2 (P = 0.003) and DENV-4 (P < 0.001) infected patients. Clinical symptoms were often seen in adults. Few differences in clinical symptoms were found between primary and secondary infection and no significant differences in clinical symptoms between the serotypes were observed. Our data provide insight in the epidemiology, clinical profile and virological features of mild symptomatic dengue patients who presented to PHC with AUF in Vietnam.","our data provide insight in the epidemiology, clinical profile and virological features of mild symptomatic dengue patients who presented to phc with auf in vietnam.",,Correct,,"at this early stage of disease, viraemia levels may have been low.31\n\nin conclusion, our data confirm earlier findings that dengue is highly endemic in southern vietnam and shows that all four serotypes are prevalent.",,,Correct,,No,Yes,Yes,,Yes
/articles.txt.I-N/Isr_J_Chem/Isr_J_Chem_2011_Nov_5_51(8-9)_885-899.txt,"Peptide thioester synthesis by N?S acyl transfer is being intensively explored by many research groups the world over. Reasons for this likely include the often straightforward method of precursor assembly using Fmoc-based chemistry and the fundamentally interesting acyl migration process. In this review we introduce recent advances in this exciting area and discuss, in more detail, our own efforts towards the synthesis of peptide thioesters through N?S acyl transfer in native peptide sequences. We have found that several peptide thioesters can be readily prepared and, what’s more, there appears to be ample opportunity for further development and discovery.","We have found that several peptide thioesters can be readily prepared and, what’s more, there appears to be ample opportunity for further development and discovery.",,Correct,,13c nmr analysis of the reaction mixture does not suggest that the thioester intermediates 11 or 12 accumulate to a significant extent at approximately ph 5.8.\n\nscheme 9 head to tail cyclization of sequence h\u2013crkffarirggrgc\u2013oh via n\u2192s acyl transfer followed by ncl.,,,Incorrect,,No,Yes,Yes,,
/articles.txt.I-N/J_Addict/J_Addict_2013_Dec_24_2013_297378.txt,"Introduction and Aim. Substance abuse imposes hazards on human health in all biopsychosocial aspects. Limited studies exist on epidemiology of substance abuse and its trend in rural areas. The present study aimed to compare substance abuse in one of the rural areas of southeast Iran, in a 12-year period (2000 and 2012). Design and Methods. In a household survey conducted in 2012, in Dashtkhak/Kerman, 1200 individuals above 12 years of age completed a questionnaire to determine their frequency of substance abuse. The questionnaire included the following three areas: demographic characteristics, frequency of substance abuse and ease of access to various drugs. Results. Among 900 completed questionnaires, majority of the participants (61.8%) were below 30 years of age and among them 54.4% were male. Cigarette (17.0%), opium (15.7%) and opium residue (9.0%) were the most frequent substances abused on a daily basis. Based on the participant's opinion, we conclude that the ease of access to cigarette, waterpipe and opium contributed to their increase in consumption compared with earlier years. Discussion and Conclusion. The steady rise in substance abuse in rural communities demands immediate attention and emergency preventive measures from policy makers.","based on the participant's opinion, we conclude that the ease of access to cigarette, waterpipe and opium contributed to their increase in consumption compared with earlier years.",,Correct,,"5. conclusions\nin conclusion, the present study shows increased prevalence of substance abuse among rural population in iran.",,,Correct,,No,Yes,Yes,,Yes
/articles.txt.I-N/J_Addict/J_Addict_2013_Aug_27_2013_307845.txt,"Random effect multiple logistic regression models were used. Results show a reciprocal relationship between alcohol use, tobacco, and cannabis. Most users were offered cannabis, began using at 14 years of age, and do not believe using is very dangerous. They live with only one parent, have more than 50 euros of spending money per month, and abuse alcohol, abuse that increases relative to the intensity of cigarette smoking. Legal/illegal dichotomy seems to overturn, where alcohol becomes a “drug” and the use of tobacco, similar to other drugs, is motivated as a solution to reduce anxiety, combat boredom, relax, and to ease loneliness.","results show a reciprocal relationship between alcohol use, tobacco, and cannabis.",,Correct,,"4. discussion\nthe results, which show a high use of tobacco and widespread alcohol abuse, indicate a relationship between use of substances, parental absence, a lot of spending money and low perception of risk.",,,Correct,,No,Yes,Yes,,Yes
/articles.txt.I-N/J_Immigr_Minor_Health/J_Immigr_Minor_Health_2010_Aug_8_12(4)_569-579.txt,"To describe the social and cultural differences between Anglophone and Francophone African immigrants which define the impediments that Francophone African immigrants face trying to access health and human services in Philadelphia, Pennsylvania. Methods Surveys and personal interviews were administered to participants in social events, community meetings, and health centers. A Chi-squared analysis was used to contrast the communities. Results Francophone Africans demonstrated less acculturation, education, English fluency, and more legal documentation problems, and thus face greater challenges accessing health care. Anglophone Africans had a higher level of acculturation, fewer language problems, and perceived fewer barriers in accessing health care than Francophone Africans. Conclusions Educating new immigrants, through a more culturally sensitive infectious disease treatment and prevention program, is integral to achieving a higher access and utilization rates of available services; especially in recent Francophone immigrants. A larger study is needed to extend the findings to other cities where immigrants with similar backgrounds or acculturation issues reside.","results francophone africans demonstrated less acculturation, education, english fluency, and more legal documentation problems, and thus face greater challenges accessing health care.",,Incorrect,,conclusion\nthis study highlights the difference in the perceptions of access to health care and social services among aps and fps in philadelphia.,,,Incorrect,,No,Yes,Yes,,
/articles.txt.I-N/J_Food_Sci/J_Food_Sci_2016_Jan_10_81(1)_M97-M105.txt,"In the present study, a multiple approach was used to characterize Malpighia punicifolia extract and to evaluate its inhibitory activity against several meat spoilage bacteria. First, volatile fraction, vitamins and phenolic compounds of the extract obtained by supercritical fluid extraction were determined by GC?MS and HPLC. Then, the antimicrobial action of the extract was in vitro evaluated against Pseudomonas putida DSMZ 291T, Pseudomonas fluorescens DSMZ 50009T, Pseudomonas fragi DSMZ 3456T, and Brochothrix thermosphacta DSMZ 20171T by the agar well diffusion assay and by the agar dilution test. Based on the results of the minimum inhibitory concentration (MIC) against the assayed bacteria, 4 different concentrations of the extract were used in a challenge test on water buffalo steaks stored for 21 d at 4 °C. Results of chemical analyses showed that M. punicifolia extract is characterized by the presence of several compounds, already described for their antimicrobial (phenolic acids, flavonones, and furanes) and antioxidant (ascorbic acid) properties. The in vitro detection of antimicrobial activities highlighted that the extract, used at 8% concentration, was able to inhibit all the target bacteria. Moreover, very low MIC values (up to 0.025%) were detected. In situ tests, performed on water buffalo steaks treated with the extract in the concentration range 0.025% to 0.05%, showed a strong inhibition of both intentionally inoculated bacteria and naturally occurring microorganisms. Positive results, in terms of color and odor, were also observed during the entire storage of steaks preserved with the extract.","results of chemical analyses showed that m. punicifolia extract is characterized by the presence of several compounds, already described for their antimicrobial (phenolic acids, flavonones, and furanes) and antioxidant (ascorbic acid) properties.",,Correct,,"conclusions\nresults reported in this study highlight that m. punicifolia extract is able to produce a strong antagonistic effect against pseudomonas species and b. thermosphacta, involved in the spoilage of fresh meat products.",,,Correct,,No,Yes,Yes,,Yes
/articles.txt.I-N/J_Eat_Disord/J_Eat_Disord_2016_May_3_4_14.txt,"Issues of personal control have been proposed to play a central role in the aetiology and maintenance of eating disorders. Empirical evidence supporting this relationship is inconsistent, partly due to the multiplicity of constructs used to define “control”. This study compares six commonly used measures of control with the aim of determining which operationalisation of control is most centrally relevant to eating pathology. Given the high level of comorbidity between eating disorders and obsessive-compulsive disorder and the potentially common risk/maintenance factors for the two disorders, we also examine the relationship between control and obsessive-compulsive symptomatology. Female community participants (N?=?175) completed self-report measures of control, eating disorder pathology and obsessive-compulsive symptoms. Multivariate analyses of variance indicated significant differences between individuals with high vs. low levels of psychopathology on most of the measures of control. Using regression analyses, we found that a sense of ineffectiveness and fear of losing self-control were the only significant independent predictors of eating pathology, and fear of losing self-control was the most significant predictor of obsessive-compulsive symptoms. This study highlights the importance of issues of control, particularly feelings of ineffectiveness and fear of losing self-control, in eating disorder symptoms. Furthermore, our findings suggest that there may be a similar underlying fear of losing self-control among individuals who engage in disordered eating and obsessive-compulsive behaviours. Thus, ineffectiveness and fear of losing self-control are two dimensions that are important to consider in maintenance and treatment models of disordered eating behaviours.","this study highlights the importance of issues of control, particularly feelings of ineffectiveness and fear of losing self-control, in eating disorder symptoms.",,Correct,,"thus, the primary aim of the current study was to build on previous research by examining a broader range of constructs in order to determine which form (or forms) of control are most strongly associated with eating pathology.",,,Incorrect,,No,No,No,,
/articles.txt.I-N/J_Mar_Biol/J_Mar_Biol_2011_2011_518516.txt,"Recent reports of localized larval recruitment in predominately small-range fishes are countered by studies that show high genetic connectivity across large oceanic distances. This discrepancy may result from the different timescales over which genetic and demographic processes operate or rather may indicate regular long-distance dispersal in some species. Here, we contribute an analysis of mtDNA cytochrome b diversity in the widely distributed Brown Surgeonfish (Acanthurus nigrofuscus; N = 560), which revealed significant genetic structure only at the extremes of the range (?CT = 0.452; P < .001). Collections from Hawaii to the Eastern Indian Ocean comprise one large, undifferentiated population. This pattern of limited genetic subdivision across reefs of the central Indo-Pacific has been observed in a number of large-range reef fishes. Conversely, small-range fishes are often deeply structured over the same area. These findings demonstrate population connectivity differences among species at biogeographic and evolutionary timescales, which likely translates into differences in dispersal ability at ecological and demographic timescales. While interspecific differences in population connectivity complicate the design of management strategies, the integration of multiscale connectivity patterns into marine resource planning will help ensure long-term ecosystem stability by preserving functionally diverse communities.","these findings demonstrate population connectivity differences among species at biogeographic and evolutionary timescales, which likely translates into differences in dispersal ability at ecological and demographic timescales.",,Correct,,"this paper was funded by us national science foundation grants to b. w. b. and r. j. t. (oce-0454873, oce-0453167, oce-0623678, and oce-0929031) and to the uh eecb program (oce-0232016), in conjunction with the himb-nwhi coral reef research partnership (nmsp moa 2005-008/6682) and cocos and christmas island collection support from national geographic society grant to m.t.c.",,,Incorrect,,No,No,No,,
/articles.txt.I-N/Inj_Epidemiol/Inj_Epidemiol_2014_Sep_2_1(1)_18.txt,"Driving self-restriction is well-documented among older drivers but might also occur among younger drivers. Little is known about the driving patterns of emergency department (ED) patients, who may be a high-risk population for motor vehicle crashes (MVCs). We sought to compare the driving patterns and MVCs of younger and older adult ED patients in order to inform development of injury prevention interventions in EDs. We surveyed English-speaking younger adult (age 25–64) and older adult (age ?65) ED patients, excluding non-drivers and those who were cognitively-impaired or too sick to participate. We compared drivers by age group and used logistic regression with adjustment for driving frequency to examine factors associated with driving self-restriction. Of those eligible, 82% (n =?178) of younger adult and 91% (n =?134) of older adult patients participated; approximately half were women. Similar proportions of younger and older adult patients reported driving everyday/almost everyday (80%) but also self-restricting driving in inclimate weather (48%), heavy traffic (27%), in unfamiliar places (21%), when travelling with passengers (1.6%) or when alone (1.3%). Fewer younger adult than older adult patients avoided driving at night (22% versus 49%) or on highways (6.7% versus 26%). In multivariable logistic regression, factors significantly associated self-imposed driving restriction in ?1 driving situation were female gender (Odds Ratio [OR] 2.40; 95% CI 1.42-4.05) and ever feeling “confused, nervous or uncomfortable” while driving (OR 1.87; 95% CI 1.03-3.39). There was a non-significant trend for differences in proportions between younger adult (11%) and older adult (6.8%) drivers reporting ?1 MVC as a driver in the past 12 months. Similar proportions of younger and older adult ED patients self-restrict driving, albeit in different situations, which has implications for behavioral interventions for injury prevention and for education of patients and medical providers.","similar proportions of younger and older adult ed patients self-restrict driving, albeit in different situations, which has implications for behavioral interventions for injury prevention and for education of patients and medical providers.",,Correct,,these findings suggest that there may be an elevated crash risk among ed patients and needs further verification with larger samples to determine whether further screening and interventions are warranted.,,,Correct,,No,Yes,No,,Yes
/articles.txt.I-N/J_Hematol_Res/J_Hematol_Res_2015_Dec_2(1)_17-24.txt,"This qualitative study sought to learn from young adults with sickle cell disease (SCD) about their experience leaving pediatric care and perspective on what makes a successful transition. Fifteen young adults with SCD who had left pediatric care within the previous five years participated in focus groups led by a trained moderator. Transcripts were analyzed using grounded theory. Four main themes emerged from the analysis: facilitators of transition (meeting the adult provider prior to transfer, knowing what to expect, gradually taking over disease self-management and starting the process early), barriers to transition (negative perceived attitude of adult staff, lack of SCD specific knowledge by both patients and staff, and competing priorities interfering with transition preparation), what young adults wished for in a transition program (opportunities to meet more staff prior to transfer, more information about the differences between pediatric and adult care, learning from a peer who has been through the process, more SCD teaching, and flexibility in transition preparation) and how they define a successful transition (gradually assuming responsibility for self-management of their SCD). Our findings present unique opportunities to learn from young adults with SCD about ways to improve current transition programs.","four main themes emerged from the analysis: facilitators of transition (meeting the adult provider prior to transfer, knowing what to expect, gradually taking over disease self-management and starting the process early), barriers to transition (negative perceived attitude of adult staff, lack of scd specific knowledge by both patients and staff, and competing priorities interfering with transition preparation), what young adults wished for in a transition program (opportunities to meet more staff prior to transfer, more information about the differences between pediatric and adult care, learning from a peer who has been through the process, more scd teaching, and flexibility in transition preparation) and how they define a successful transition (gradually assuming responsibility for self-management of their scd).",,Incorrect,,these data suggest that further improvements in the transition process are needed and illustrate important considerations from the point of view of young adults who have already transferred care.,,,Correct,,No,Yes,No,,Yes
/articles.txt.I-N/J_Health_Commun/J_Health_Commun_2016_Jan_2_21(1)_676-75.txt,"Studies investigating preferences for shared decision making (SDM) have focused on associations with sociodemographic variables, with few investigations exploring patient factors. We aimed to investigate the relationship between patient activation and preferences for SDM in 6 common medical decisions among a nationally representative cross-sectional survey of American adults. Adults older than 18 were recruited online (n = 2,700) and by telephone (n = 700). Respondents completed sociodemographic assessments and the Patient Activation Measure. They were also asked whether they perceived benefit (yes/no) in SDM in 6 common medical decisions. Nearly half of the sample (45.9%) reached the highest level of activation (Level 4). Activation was associated with age (p < .001), higher income (p = .001), higher education (p = .010), better self-rated health (p < .001), and fewer chronic conditions (p = .050). The proportion of people who agreed that SDM was beneficial varied from 53.1% (deciding the necessity of a diagnostic test) to 71.8% (decisions associated with making lifestyle changes). After we controlled for participant characteristics, higher activation was associated with greater perceived benefit in SDM across 4 of the 6 decisions. Preferences for SDM varied among 6 common medical scenarios. Low patient activation is an important barrier to SDM that could be ameliorated through the development of behavioral interventions.","after we controlled for participant characteristics, higher activation was associated with greater perceived benefit in sdm across 4 of the 6 decisions.",,Correct,,"although our study design prohibits inferences of causality, our findings suggest that low levels of patient activation may be a barrier to sdm.",,,Incorrect,,No,Yes,No,,
/articles.txt.I-N/J_Headache_Pain/J_Headache_Pain_2000_Dec_1(2)_73-81.txt,"Cortical hyperexcitability in migraine has been suggested to play a pivotal role in triggering migraine attacks, possibly via generation of spreading depression. Low levels of plasma, intracellular and brain magnesium as well as increased amplitudes of visual evoked potentials support this theory. More recent data on evoked and event related potentials, i.e. lack of habituation and low initial amplitudes during repetitive stimulation, however, may indicate reduced levels of cortical excitability. Transcranial magnetic stimulation of motor and visual cortices, a direct method to assess cortical excitability, yielded contradictory results. Lower or elevated motor thresholds, amplitudes and/or phosphene prevalence or even no significant differences at all were demonstrated suggesting also cortical hypo- rather than hyperexcitability in migraine. Methodological differences, selection of subjects, and timing of investigations might partly explain these marked differences. Clinical and genetic heterogeneity of migraine, for instance via opposite influence on neuronal excitability caused by recently described ionchannel mutations, might provide further explanation.","lack of habituation and low initial amplitudes during repetitive stimulation, however, may indicate reduced levels of cortical excitability.",,Incorrect,,"however, therapeutic trials with magnesium show\nlow efficacy rates, which does not indicate a major role of\nmagnesium in attack generation.",,,Incorrect,,No,Yes,No,,
